,Number,OwnerName,Location,LocationAddress,LocationCity,LocationState,LocationZip,County,Status,NextInspectionDue,NextInspectionDueOther,MachineType,Manufacturer,UnitType,InsertedAt,LastSeen
15,100014,CITY OF ABBEVILLE,OPERA HOUSE,100 COURT SQUARE,ABBEVILLE,SC,29620,ABBEVILLE,Active,2019-07-26 00:00:00.0000000,,Hydraulic,DOVER,Passenger,2018-10-05 07:21:23.2241768 +00:00,2018-10-05 07:21:23.2241608 +00:00
16,100015,ERSKINE COLLEGE,ERSKINE COLLEGE,2 WASHINGTON STREET,DUE WEST,SC,29639,ABBEVILLE,Destroyed,2017-02-18 00:00:00.0000000,,Other,AMER STAIR GLIDE,Wheelchair Lift,2018-10-05 07:21:23.9606052 +00:00,2018-10-05 07:21:23.9605682 +00:00
17,100016,ERSKINE COLLEGE,ERSKINE COLLEGE,2 WASHINGTON STREET,DUE WEST,SC,29639,ABBEVILLE,Destroyed,2006-02-18 00:00:00.0000000,,Other,AMER STAIR GLIDE,Wheelchair Lift,2018-10-05 07:21:24.7469866 +00:00,2018-10-05 07:21:24.7469647 +00:00
18,100017,ERSKINE COLLEGE,ERSKINE COLLEGE BONNER HALL,P O BOX 145,DUE WEST,SC,29639,ABBEVILLE,Active,2018-12-12 00:00:00.0000000,,Hydraulic,OTIS ELEVATOR,Passenger,2018-10-05 07:21:25.5525463 +00:00,2018-10-05 07:21:25.5525218 +00:00
19,100018,ERSKINE COLLEGE,BELK HALL,P O BOX 565,DUE WEST,SC,29639,ABBEVILLE,Active,2018-12-12 00:00:00.0000000,,Hydraulic,OTIS ELEVATOR,Passenger,2018-10-05 07:21:26.2989794 +00:00,2018-10-05 07:21:26.2989665 +00:00
20,100019,ERSKINE COLLEGE,LIBRARY,P O BOX 565,DUE WEST,SC,29639,ABBEVILLE,Active,2018-12-12 00:00:00.0000000,,Hydraulic,OTIS ELEVATOR,Passenger,2018-10-05 07:21:27.0405286 +00:00,2018-10-05 07:21:27.0405109 +00:00
21,100020,ERSKINE COLLEGE,BOWIE ART CENTER,3-A BONNER STREET,DUE WEST,SC,29639,ABBEVILLE,Active,2018-12-12 00:00:00.0000000,,Hydraulic,OTIS ELEVATOR,Passenger,2018-10-05 07:21:27.7905648 +00:00,2018-10-05 07:21:27.7905384 +00:00
22,100021,SOUTH STATE BANK,ABBEVILLE STATE MAIN,203 SOUTH MAIN STREET,ABBEVILLE,SC,29620,ABBEVILLE,Active,2019-05-22 00:00:00.0000000,,Hydraulic,DOVER,Passenger,2018-10-05 07:21:28.5547504 +00:00,2018-10-05 07:21:28.5547308 +00:00
23,100022,GREENVILLE PRESBY CHURCH,GREENVILLE PRESBY CHURCH,205 GREENVLLE CHURCH,DONALDS,SC,29638,ABBEVILLE,Active,2017-01-05 00:00:00.0000000,,Screw,NATL WHEEL O&#39;VATOR,Wheelchair Lift,2018-10-05 07:21:29.3273597 +00:00,2018-10-05 07:21:29.3273414 +00:00
24,100023,ABBEVILLE COUNTY,ABBEVILLE CNTY COURTHOUSE,TOWN SQUARE,ABBEVILLE,SC,29620,ABBEVILLE,Active,2019-08-21 00:00:00.0000000,,Hydraulic,DOVER,Passenger,2018-10-05 07:21:30.0927064 +00:00,2018-10-05 07:21:30.0926910 +00:00
25,100024,ERSKINE COLLEGE,DANIEL-MOULTIRE SCIENCE BLDG,CLEVELAND &amp; BONNER,DUE WEST,SC,29639,ABBEVILLE,Active,2018-12-12 00:00:00.0000000,,Hydraulic,OTIS ELEVATOR,Passenger,2018-10-05 07:21:30.8647125 +00:00,2018-10-05 07:21:30.8646947 +00:00
26,100025,THE RENAISSANCE,THE RENAISSANCE,18 DR. FRANK PRESSLEY DRIVE,DUE WEST,SC,29639,ABBEVILLE,Active,2018-10-10 00:00:00.0000000,,Hydraulic,DOVER,Passenger,2018-10-05 07:21:31.6489368 +00:00,2018-10-05 07:21:31.6489154 +00:00
27,100026,DONALDS BAPTIST CHURCH,DONALDS BAPTIST CHURCH,261 HWY 178 NORTH,DONALDS,SC,29638,ABBEVILLE,Destroyed,2007-02-11 00:00:00.0000000,,Screw,NATL WHEEL O&#39;VATOR,Wheelchair Lift,2018-10-05 07:21:32.4552865 +00:00,2018-10-05 07:21:32.4552696 +00:00
28,100027,ERSKINE COLLEGE,ERSKINE COLLEGE - BOWIE HALL,7 DEPOT STREET,DUE WEST,SC,29639,ABBEVILLE,Active,2018-12-12 00:00:00.0000000,,Hydraulic,OTIS ELEVATOR,Passenger,2018-10-05 07:21:33.2122896 +00:00,2018-10-05 07:21:33.2122600 +00:00
29,100028,A.R. PRESBYTERIAN CHURCH,A.R. PRESBYTERIAN CHURCH,P O BOX 397,DUE WEST,SC,29639,ABBEVILLE,Active,2019-01-18 00:00:00.0000000,,Hydraulic,OTIS ELEVATOR,Passenger,2018-10-05 07:21:34.0123605 +00:00,2018-10-05 07:21:34.0123399 +00:00
30,100029,ERSKINE COLLEGE,ERSKINE COLLEGE,2 WASHINGTON AVENUE,DUE WEST,SC,29630,ABBEVILLE,Active,2018-12-12 00:00:00.0000000,,Hydraulic,OTIS ELEVATOR,Passenger,2018-10-05 07:21:34.7586456 +00:00,2018-10-05 07:21:34.7586213 +00:00
31,100030,ERSKINE COLLEGE,ERSKINE BUILDING,2 WASHINGTON STREET,DUE WEST,SC,29639,ABBEVILLE,Active,2018-12-12 00:00:00.0000000,,Hydraulic,OTIS ELEVATOR,Passenger,2018-10-05 07:21:35.5361046 +00:00,2018-10-05 07:21:35.5360920 +00:00
32,100031,PRYSMIAN CABLE,PRYSMIAN CABLE,569 HIGHWAY 28 BYPASS,ABBEVILLE,SC,29620,ABBEVILLE,Active,2019-03-12 00:00:00.0000000,,TRACTION W/STEEL ROPES,THYSSENKRUPP ELEVATOR,Passenger,2018-10-05 07:21:36.3194507 +00:00,2018-10-05 07:21:36.3194344 +00:00
33,100032,PRYSMIAN CABLE,PRYSMIAN CABLE,569 HIGHWAY 28 BYPASS,ABBEVILLE,SC,29620,ABBEVILLE,Active,2019-03-12 00:00:00.0000000,,Hydraulic,THYSSENKRUPP ELEVATOR,Passenger,2018-10-05 07:21:37.1405494 +00:00,2018-10-05 07:21:37.1405251 +00:00
34,100033,ERSKINE COLLEGE,ERSKINE COLLEGE - MEMORIAL BLDG,2 WASHINGTON AVENUE,DUE WEST,SC,29639,ABBEVILLE,Active,2050-03-25 00:00:00.0000000,,Hydraulic,SCHINDLER ELEVATOR,Passenger,2018-10-05 07:21:37.9283150 +00:00,2018-10-05 07:21:37.9282839 +00:00
35,100034,UPPER LONGCANE PRESBYTERIAN CHURCH,UPPER LONGCANE PRESBYTERIAN CHURCH,194 ROAD 20,ABBEVILLE,SC,29620,ABBEVILLE,Active,2022-06-07 00:00:00.0000000,,Screw,OTHER,Wheelchair Lift,2018-10-05 09:50:38.2249497 +00:00,2018-10-05 09:50:38.2249269 +00:00
36,100035,ABBEVILLE SCHOOL DISTRICT,ABBEVIILE SCHOOL DISTRICT,400 GREENVILLE STREET,ABBEVILLE,SC,29620,ABBEVILLE,Active,2018-12-12 00:00:00.0000000,,Hydraulic,THYSSENKRUPP ELEVATOR,Passenger,2018-10-05 09:52:56.5299253 +00:00,2018-10-05 09:52:56.5299138 +00:00
37,100036,ABBEVILLE PRESBYTERIAN CHURCH,ABBEVILLE PRESBYTERIAN CHURCH,301 NORTH MAIN ST,ABBEVILLE,SC,29620,ABBEVILLE,Active,2019-02-21 00:00:00.0000000,,Hydraulic,THYSSENKRUPP ELEVATOR,Passenger,2018-10-05 09:54:03.0301269 +00:00,2018-10-05 09:54:03.0301143 +00:00
38,200001,KIMBERLY CLARK CORP.,KIMBERLY CLARK CORP.,246 OLD JACKSON HWY.,BEECH ISLAND,SC,29842,AIKEN,Active,2019-01-03 00:00:00.0000000,,TRACTION W/STEEL ROPES,DOVER,Freight,2018-10-05 07:21:38.7096990 +00:00,2018-10-05 07:21:38.7096878 +00:00
39,200002,HOTEL AIKEN,HOTEL AIKEN,235 RICHLAND AVE WEST,AIKEN,SC,29801,AIKEN,Active,2018-06-22 00:00:00.0000000,,TRACTION W/STEEL ROPES,OTIS ELEVATOR,Passenger,2018-10-05 07:21:39.5201107 +00:00,2018-10-05 07:21:39.5200803 +00:00
40,200003,C.R. MERRITT,CLEARWATER FINISHING INC.,PO BOX 966,CLEARWATER,SC,29822,AIKEN,Destroyed,2001-07-20 00:00:00.0000000,,Hydraulic,OTIS ELEVATOR,Freight,2018-10-05 07:21:40.2907819 +00:00,2018-10-05 07:21:40.2907554 +00:00
41,200004,C.R. MERRITT,CLEARWATER FINISHING INC.,PO BOX 966,CLEARWATER,SC,29822,AIKEN,Destroyed,2001-07-20 00:00:00.0000000,,TRACTION W/STEEL ROPES,OTIS ELEVATOR,Freight,2018-10-05 07:21:41.0966382 +00:00,2018-10-05 07:21:41.0966133 +00:00
42,200005,C.R. MERRITT,CLEARWATER FINISHING INC.,PO BOX 966,CLEARWATER,SC,29822,AIKEN,Destroyed,2001-07-20 00:00:00.0000000,,Hydraulic,DOVER,Freight,2018-10-05 07:21:41.8702298 +00:00,2018-10-05 07:21:41.8701819 +00:00
43,200006,C.R. MERRITT,CLEARWATER FINISHING  INC.,PO BOX 966,CLEARWATER,SC,29822,AIKEN,Destroyed,2001-07-20 00:00:00.0000000,,Hydraulic,OTIS ELEVATOR,Freight,2018-10-05 07:21:42.6581406 +00:00,2018-10-05 07:21:42.6581163 +00:00
44,200007,C.R. MERRITT,CLEARWATER FINISHING INC.,PO BOX 966,CLEARWATER,SC,29822,AIKEN,Destroyed,2001-07-20 00:00:00.0000000,,Hydraulic,DOVER,Freight,2018-10-05 07:21:43.4350384 +00:00,2018-10-05 07:21:43.4350185 +00:00
45,200008,ELLIS MANAGEMENT LLC,THE WILLCOX INN,100 COLLETON AVENUE,AIKEN,SC,29801,AIKEN,Active,2018-11-20 00:00:00.0000000,,Hydraulic,DOVER,Passenger,2018-10-05 07:21:44.1957619 +00:00,2018-10-05 07:21:44.1957434 +00:00
46,200009,OWENS CORNING,OWENS CORNING,2648 WAGENER ROAD,AIKEN,SC,29801,AIKEN,Active,2018-10-12 00:00:00.0000000,,Hydraulic,OTIS ELEVATOR,Freight,2018-10-05 07:21:44.9623826 +00:00,2018-10-05 07:21:44.9623658 +00:00
47,200010,AGY AIKEN LLC,NORTH BATCH HOUSE,2556 WAGNER ROAD,AIKEN,SC,29801,AIKEN,Active,2018-10-12 00:00:00.0000000,,TRACTION W/STEEL ROPES,DOVER,Freight,2018-10-05 07:21:45.7426256 +00:00,2018-10-05 07:21:45.7426103 +00:00
48,200011,AGY AIKEN LLC,MAIN PLANT,HIGHWAY 302,AIKEN,SC,29801,AIKEN,Active,2018-10-12 00:00:00.0000000,,TRACTION W/STEEL ROPES,SOUTHERN ELEVATOR,Freight,2018-10-05 07:21:46.4943333 +00:00,2018-10-05 07:21:46.4943085 +00:00
49,200012,UNITED MERCHANTS,BATH MILL,MILL STREET,BATH,SC,29816,AIKEN,Destroyed,2001-07-20 00:00:00.0000000,,TRACTION W/STEEL ROPES,OTIS ELEVATOR,Freight,2018-10-05 07:21:47.2509496 +00:00,2018-10-05 07:21:47.2509366 +00:00
50,200013,UNITED MERCHANTS,BATH MILL,MILL STREET,BATH,SC,29816,AIKEN,Destroyed,2001-07-20 00:00:00.0000000,,TRACTION W/STEEL ROPES,OTIS ELEVATOR,Freight,2018-10-05 07:21:47.9999568 +00:00,2018-10-05 07:21:47.9999402 +00:00
51,200014,UNITED MERCHANTS,BATH MILL,MILL STREET,BATH,SC,29816,AIKEN,Destroyed,2001-07-20 00:00:00.0000000,,TRACTION W/STEEL ROPES,OTHER,Freight,2018-10-05 07:21:48.7702291 +00:00,2018-10-05 07:21:48.7702182 +00:00
52,200015,UNITED MERCHANTS,SEMINOLE MILLS,CLEARWATER ROAD,CLEARWATER,SC,29822,AIKEN,Destroyed,2001-07-20 00:00:00.0000000,,TRACTION W/STEEL ROPES,OTIS ELEVATOR,Freight,2018-10-05 07:21:49.5335034 +00:00,2018-10-05 07:21:49.5334886 +00:00
53,200016,UNITED MERCHANTS,SEMINOLE MILLS,CLEARWATER ROAD,CLEARWATER,SC,29822,AIKEN,Destroyed,2001-07-20 00:00:00.0000000,,Other,OTHER,Dumbwaiter,2018-10-05 07:21:50.2609568 +00:00,2018-10-05 07:21:50.2609453 +00:00
54,200017,UNITED MERCHANTS,SEMINOLE MILLS,CLEARWATER ROAD,CLEARWATER,SC,29822,AIKEN,Destroyed,2001-07-20 00:00:00.0000000,,TRACTION W/STEEL ROPES,OTIS ELEVATOR,Freight,2018-10-05 07:21:51.0295644 +00:00,2018-10-05 07:21:51.0295511 +00:00
55,200018,UNITED MERCHANTS,BATH MILL,MILL STREET,BATH,SC,29816,AIKEN,Destroyed,2001-04-14 00:00:00.0000000,,TRACTION W/STEEL ROPES,OTHER,Dumbwaiter,2018-10-05 07:21:51.7971832 +00:00,2018-10-05 07:21:51.7971683 +00:00
56,200019,UNITED MERCHANTS,BATH MILL,MILL STREET,BATH,SC,29816,AIKEN,Destroyed,2001-04-14 00:00:00.0000000,,TRACTION W/STEEL ROPES,OTHER,Dumbwaiter,2018-10-05 07:21:52.5431595 +00:00,2018-10-05 07:21:52.5431470 +00:00
57,200021,SC ELECTRIC &amp; GAS,URQUART STATION,100 URQUART DRIVE,BEECH ISLAND,SC,29842,AIKEN,Active,2018-08-14 00:00:00.0000000,,TRACTION W/STEEL ROPES,OTIS ELEVATOR,Passenger,2018-10-05 07:21:53.3050608 +00:00,2018-10-05 07:21:53.3050393 +00:00
58,200022,SC ELECTRIC &amp; GAS,URQUART STATION,100 URQUART DRIVE,BEECH ISLAND,SC,29842,AIKEN,Active,2018-08-25 00:00:00.0000000,,Hydraulic,OTIS ELEVATOR,Freight,2018-10-05 07:21:54.0757638 +00:00,2018-10-05 07:21:54.0757485 +00:00
59,200023,CROFT HOUSE INC.,CROFT HOUSE INC.,356 YORK STREET N.E.,AIKEN,SC,29801,AIKEN,Active,2019-01-19 00:00:00.0000000,,Hydraulic,OTIS ELEVATOR,Passenger,2018-10-05 07:21:54.8377797 +00:00,2018-10-05 07:21:54.8377580 +00:00
60,200024,CROFT HOUSE INC.,CROFT HOUSE INC.,356 YORK STREET N.E.,AIKEN,SC,29801,AIKEN,Active,2019-01-19 00:00:00.0000000,,Hydraulic,OTIS ELEVATOR,Passenger,2018-10-05 07:21:55.5911524 +00:00,2018-10-05 07:21:55.5911299 +00:00
61,200025,USC - AIKEN,USC AIKEN - ETHEREDGE BLDG.,171 UNIVERSITY PKWY,AIKEN,SC,29801,AIKEN,Active,2019-07-30 00:00:00.0000000,,Hydraulic,DOVER,Passenger,2018-10-05 07:21:56.3462349 +00:00,2018-10-05 07:21:56.3462237 +00:00
62,200026,USC - AIKEN,HUMANITY/SOCIAL SERVICES,171 UNIVERSITY PKWY,AIKEN,SC,29801,AIKEN,Active,2019-07-30 00:00:00.0000000,,Hydraulic,SOUTHEASTERN,Passenger,2018-10-05 07:21:57.1510763 +00:00,2018-10-05 07:21:57.1510476 +00:00
63,200027,USC - AIKEN,USC AIKEN - LIBRARY,171 UNIVERSITY PKWY,AIKEN,SC,29801,AIKEN,Active,2019-07-31 00:00:00.0000000,,Hydraulic,OTIS ELEVATOR,Passenger,2018-10-05 07:21:57.9242525 +00:00,2018-10-05 07:21:57.9242318 +00:00
64,200028,USC - AIKEN,USC AIKEN - ADMIN. BLDG.,171 UNIVERSITY PKWY,AIKEN,SC,29801,AIKEN,Active,2019-07-31 00:00:00.0000000,,Hydraulic,DOVER,Passenger,2018-10-05 07:21:58.6880926 +00:00,2018-10-05 07:21:58.6880799 +00:00
65,200029,WOODSIDE EXECUTIVE PTNSHP LLC,WOODSIDE EXEC. PARK - BLDG C,2000 WOODSIDE EXECUTIVE COURT,AIKEN,SC,29803,AIKEN,Active,2018-11-20 00:00:00.0000000,,Hydraulic,OTIS ELEVATOR,Passenger,2018-10-05 07:21:59.4569417 +00:00,2018-10-05 07:21:59.4569276 +00:00
66,200030,AIKEN TECHNICAL COLLEGE,100-200 BUILDING,HWY 1 AND 78 SOUTH,AIKEN,SC,29801,AIKEN,Active,2019-09-04 00:00:00.0000000,,Hydraulic,DOVER,Passenger,2018-10-05 07:22:00.1849530 +00:00,2018-10-05 07:22:00.1849390 +00:00
67,200031,AIKEN TECHNICAL COLLEGE,500-600 BUILDING,HWY 1 AND 78 SOUTH,AIKEN,SC,29801,AIKEN,Temp Decom,2018-09-06 00:00:00.0000000,,Hydraulic,DOVER,Passenger,2018-10-05 07:22:00.9619015 +00:00,2018-10-05 07:22:00.9618711 +00:00
68,200032,AIKEN COUNTY,AIKEN COUNTY - ADMIN. COMPLEX,828 RICHLAND AVENUE,AIKEN,SC,29801,AIKEN,Destroyed,2019-08-02 00:00:00.0000000,,Hydraulic,THYSSENKRUPP ELEVATOR,Passenger,2018-10-05 07:22:01.7088678 +00:00,2018-10-05 07:22:01.7088547 +00:00
69,200033,AIKEN COUNTY,AIKEN CNTY- ADMIN. COMPLEX,828 RICHLAND AVE W.,AIKEN,SC,29801,AIKEN,Temp Decom,2019-08-02 00:00:00.0000000,,Hydraulic,THYSSENKRUPP ELEVATOR,Passenger,2018-10-05 07:22:02.4778682 +00:00,2018-10-05 07:22:02.4778389 +00:00
70,200034,CITY OF AIKEN,AIKEN MUNICIPAL BUILDING,214 PARK AVENUE S.W.,AIKEN,SC,29801,AIKEN,Active,2018-10-12 00:00:00.0000000,,Hydraulic,OTIS ELEVATOR,Passenger,2018-10-05 07:22:03.2209274 +00:00,2018-10-05 07:22:03.2209071 +00:00
71,200035,USC - AIKEN,USC AIKEN - SCIENCE BLDG.,171 UNIVERSITY PKWY.,AIKEN,SC,29801,AIKEN,Active,2019-07-30 00:00:00.0000000,,Hydraulic,THYSSENKRUPP ELEVATOR,Passenger,2018-10-05 07:22:03.9662344 +00:00,2018-10-05 07:22:03.9662191 +00:00
72,200036,USC - AIKEN,USC AIKEN - SCIENCE BLDG.,171 UNIVERSITY PKWY.,AIKEN,SC,29801,AIKEN,Active,2019-07-30 00:00:00.0000000,,Hydraulic,THYSSENKRUPP ELEVATOR,Passenger,2018-10-05 07:22:04.7268258 +00:00,2018-10-05 07:22:04.7268008 +00:00
73,200037,REALTY TRUST | AIKEN MED LLC ,AIKEN REGIONAL MEDICAL CTR.,302 UNIVERSITY PKWY.,AIKEN,SC,29801,AIKEN,Active,2018-11-30 00:00:00.0000000,,Hydraulic,DOVER,Passenger,2018-10-05 07:22:05.5160457 +00:00,2018-10-05 07:22:05.5160295 +00:00
74,200038,"AVONDALE MILLS, INC",HICKMAN DIVISION,CANAL STREET,GRANITEVILLE,SC,29829,AIKEN,Destroyed,2008-01-29 00:00:00.0000000,,TRACTION W/STEEL ROPES,DOVER,Freight,2018-10-05 07:22:06.3109187 +00:00,2018-10-05 07:22:06.3100815 +00:00
75,200039,"AVONDALE MILLS, INC",HICKMAN DIVISION,CANAL STREET,GRANITEVILLE,SC,29829,AIKEN,Destroyed,2008-01-29 00:00:00.0000000,,TRACTION W/STEEL ROPES,DOVER,Freight,2018-10-05 07:22:07.0634795 +00:00,2018-10-05 07:22:07.0634595 +00:00
76,200040,"AVONDALE MILLS, INC",HICKMAN DIVISION,CANAL STREET,GRANITEVILLE,SC,29829,AIKEN,Destroyed,2008-01-29 00:00:00.0000000,,TRACTION W/STEEL ROPES,OTHER,Freight,2018-10-05 07:22:07.8227767 +00:00,2018-10-05 07:22:07.8227586 +00:00
77,200041,"AVONDALE MILLS, INC",MAINTENANCE BUILDING,MARSHALL STREET,GRANITEVILLE,SC,29829,AIKEN,Destroyed,2008-01-29 00:00:00.0000000,,TRACTION W/STEEL ROPES,OTHER,Freight,2018-10-05 07:22:08.6059469 +00:00,2018-10-05 07:22:08.6059329 +00:00
78,200042,"AVONDALE MILLS, INC",MAINTENANCE BUILDING,MARSHALL STREET,GRANITEVILLE,SC,29829,AIKEN,Destroyed,2008-01-29 00:00:00.0000000,,TRACTION W/STEEL ROPES,OTIS ELEVATOR,Freight,2018-10-05 07:22:09.3585827 +00:00,2018-10-05 07:22:09.3585594 +00:00
79,200043,"AVONDALE MILLS, INC",GRANITE DIVISION,MARSHALL STREET,GRANITEVILLE,SC,29829,AIKEN,Destroyed,2008-01-29 00:00:00.0000000,,TRACTION W/STEEL ROPES,OTHER,Freight,2018-10-05 07:22:10.1026267 +00:00,2018-10-05 07:22:10.1026104 +00:00
80,200044,"AVONDALE MILLS, INC",GRANITE DIVISION,MARSHALL STREET,GRANITEVILLE,SC,29829,AIKEN,Destroyed,2008-01-29 00:00:00.0000000,,TRACTION W/STEEL ROPES,OTHER,Freight,2018-10-05 07:22:10.8749369 +00:00,2018-10-05 07:22:10.8749204 +00:00
81,200045,"AVONDALE MILLS, INC",GRANITE DIVISION,MARSHALL STREET,GRANITEVILLE,SC,29829,AIKEN,Destroyed,2008-01-29 00:00:00.0000000,,TRACTION W/STEEL ROPES,OTHER,Freight,2018-10-05 07:22:11.6711692 +00:00,2018-10-05 07:22:11.6711568 +00:00
82,200046,"AVONDALE MILLS, INC",GRANITE DIVISION,MARSHALL STREET,GRANITEVILLE,SC,29829,AIKEN,Destroyed,2008-01-29 00:00:00.0000000,,TRACTION W/STEEL ROPES,OTHER,Freight,2018-10-05 07:22:12.4431802 +00:00,2018-10-05 07:22:12.4431579 +00:00
83,200047,"AVONDALE MILLS, INC",VAUCLUSE DIVISION,SENN STREET,GRANITEVILLE,SC,29829,AIKEN,Destroyed,2008-01-29 00:00:00.0000000,,TRACTION W/STEEL ROPES,OTHER,Freight,2018-10-05 07:22:13.2402232 +00:00,2018-10-05 07:22:13.2401954 +00:00
84,200048,"AVONDALE MILLS, INC",VAUCLUSE DIVISION,SENN STREET,GRANITEVILLE,SC,29829,AIKEN,Destroyed,2008-01-29 00:00:00.0000000,,TRACTION W/STEEL ROPES,OTHER,Freight,2018-10-05 07:22:14.0037885 +00:00,2018-10-05 07:22:14.0037659 +00:00
85,200049,"AVONDALE MILLS, INC",WARREN DIVISION,GREGG HIGHWAY,GRANITEVILLE,SC,29829,AIKEN,Destroyed,2008-01-29 00:00:00.0000000,,TRACTION W/STEEL ROPES,DOVER,Freight,2018-10-05 07:22:17.7419782 +00:00,2018-10-05 07:22:17.7419637 +00:00
86,200050,"AVONDALE MILLS, INC",WARREN DIVISION,GREGG HIGHWAY,GRANITEVILLE,SC,29829,AIKEN,Destroyed,2008-01-29 00:00:00.0000000,,TRACTION W/STEEL ROPES,OTHER,Freight,2018-10-05 07:22:18.5181694 +00:00,2018-10-05 07:22:18.5181570 +00:00
